Para analizar los resultados podés hacer una copia (Archivo > Crear una copia) o bajar el .csv (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recordá calificar a la empresa donde estás trabajando en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejá sugerencias para próximas encuestas (o devolvele a la comunidad resolviendo algún issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Estoy trabajando en,Bolivia,Chile,Colombia,Cuba,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Nicaragua,Panamá,Paraguay,Perú,Puerto Rico,República Dominicana,Uruguay,Venezuela,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en lo que va de 2020?,¿De qué % fue el ajuste total?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,Beneficios extra,"¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento, en tu ciudad?"
Hombre,45,Bolivia,Oruro,,,,,,,,,,,,,,,,,,10,10,10,0,Universitario,Completado,Ingeniería en Sistemas de Información,Uto,No,No,No,Developer,Linux,"CSS, HTML, Javascript, PHP, Ruby, SQL","Laravel, Rails","MySQL, PostgreSQL","PHPUnit, RSpec",Sublime Text,macOS,Android,No,0,Neto,Remoto (empresa de otro país),7000,,,3,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,1-10,Producto basado en Software,7,8,Ninguna de las anteriores,
Hombre,36,Bolivia,La Paz,,,,,,,,,,,,,,,,,,13,0,6,3,Universitario,Completado,Licenciatura en Informática,Universidad Mayor de San Andres,"Sí, de forma particular",Sí,Sí,Technical Leader,"Amazon Web Services, Heroku, Linux","Elixir, HTML, Javascript, Ruby","Bootstrap, jQuery, Node.js, Rails, React.js, Vue.js","Amazon RDS/Aurora, MariaDB, MySQL, PostgreSQL","RSpec, Selenium","Vim, Visual Studio Code",macOS,Android,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),25000,21000,Mi sueldo está dolarizado,3,3,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,,1-10,Producto basado en Software,6,7,Ninguna de las anteriores,"cualquiera que no tercerize el trabajo o haga subcontrataciones, y no conosco alguna. todas hacen Outsourcing."
Hombre,34,Bolivia,Cochabamba,,,,,,,,,,,,,,,,,,4,4,4,0,Terciario,Completado,Tecnicatura Superior en Sistemas Informáticos,Alvarez Plata,No,No,Sí,Developer,Docker,C#,Angular,MySQL,Ninguna de las anteriores,Visual Studio,Windows,Android,No,0,Bruto,Freelance,8000,7000,,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,1-10,Producto basado en Software,5,5,Capacitaciones y/o cursos,
Hombre,50,Bolivia,Cliza,,,,,,,,,,,,,,,,,,30,3,3,0,Secundario,En curso,Telecomunicaciones,ESBA - Escuela Superior Buenos Aires,"Sí, de forma particular",No,No,DBA,Azure,Go,Laravel,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Test Complete,IntelliJ,*BSD,iOS,No,0,Bruto,Full-Time,50000,50000,Mi sueldo está dolarizado,4,2,Un sueldo,No recibo bono,No,0,0,Jamás,¿Qué les importa?,,,1-10,Otras industrias,8,9,Abono de celular,
Hombre,38,Bolivia,La Paz,,,,,,,,,,,,,,,,,,16,15,12,2,Universitario,Incompleto,Licenciatura en Sistemas de Información,USFA,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Manager / Director,"Google Cloud Platform/App Engine, Linux, VMWare","Bash/Shell, Javascript, Python",Ninguno de los anteriores,"MySQL, PostgreSQL",Ninguna de las anteriores,Vim,macOS,iOS,No,0,Bruto,Full-Time,15000,13500,,3,2,No,Performance de la compañía,Uno,4,5,Jamás,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,6,10,"Horarios flexibles, Sueldo divido en dos pagos por mes",
Hombre,41,Bolivia,Cochabamba,,,,,,,,,,,,,,,,,,15,9,9,0,Universitario,Completado,Ingeniería en Informática,UNSXX-Universidad Nacional Siglo XX,"Sí, de forma particular",No,Sí,"Sw Developer, Industrial HMI Programer, Industrial Protocols Programer","Linux, Windows Server","C#, Java, Python, SQL, VBA",Ninguno de los anteriores,"MariaDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,"Atom, Eclipse, NetBeans, Visual Studio, Visual Studio Code",Windows,Android,No,0,Neto,Full-Time,5400,5200,,2,2,No,No recibo bono,No,0,0,En mi trabajo actual,Heterosexual,,,11-50,Producto basado en Software,3,5,"Abono de celular, Viáticos",
Hombre,30,Bolivia,Santa Cruz de la Sierra,,,,,,,,,,,,,,,,,,10,0,0,2,Posgrado,Completado,Ingeniería en Informática,Nur,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Architect,"Amazon Web Services, Azure, Linux, Serverless","Java, SQL","Hibernate, React.js, Spring","Amazon DynamoDB, MariaDB",JUnit,"IntelliJ, Visual Studio Code",Windows,iOS,No,0,Porcentaje de mi sueldo,Full-Time,21000,20000,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0,0,Jamás,Heterosexual,Visual,No,201-500,Servicios / Consultoría de Software / Digital,10,10,"Capacitaciones y/o cursos, Horarios flexibles",
